,brand,model,selling_price,km_driven,fuel,mileage,engine,seats,No_of_years
0,Maruti,Swift Dzire VDI,450000,145500,Diesel,23.4,1248.0,5,9
1,Skoda,Rapid 1.5 TDI Ambition,370000,120000,Diesel,21.14,1498.0,5,9
2,Honda,City 2017-2020 EXi,158000,140000,Petrol,17.7,1497.0,5,17
3,Hyundai,i20 Sportz Diesel,225000,127000,Diesel,23.0,1396.0,5,13
4,Maruti,Swift VXI BSIII,130000,120000,Petrol,16.1,1298.0,5,16
5,Hyundai,Xcent 1.2 VTVT E Plus,440000,45000,Petrol,20.14,1197.0,5,6
6,Maruti,Wagon R LXI DUO BSIII,96000,175000,LPG,17.3,1061.0,5,16
7,Maruti,800 DX BSII,45000,5000,Petrol,16.1,796.0,4,22
8,Toyota,Etios VXD,350000,90000,Diesel,23.59,1364.0,5,12
9,Ford,Figo Diesel Celebration Edition,200000,169000,Diesel,20.0,1399.0,5,10
10,Renault,Duster 110PS Diesel RxL,500000,68000,Diesel,19.01,1461.0,5,9
11,Maruti,Zen LX,92000,100000,Petrol,17.3,993.0,5,18
12,Maruti,Swift Dzire VDi,280000,140000,Diesel,19.3,1248.0,5,14
13,Maruti,Wagon R LXI Minor,180000,90000,Petrol,18.9,1061.0,5,14
14,Mahindra,KUV 100 mFALCON G80 K8 5str,400000,40000,Petrol,18.15,1198.0,5,7
15,Maruti,Ertiga SHVS VDI,778000,70000,Diesel,24.52,1248.0,7,7
16,Hyundai,i20 1.4 CRDi Asta,500000,53000,Diesel,23.0,1396.0,5,11
17,Maruti,Alto LX,150000,80000,Petrol,19.7,796.0,5,21
18,Hyundai,i20 2015-2017 Asta 1.4 CRDi,680000,100000,Diesel,22.54,1396.0,5,7
19,Mahindra,Verito 1.5 D4 BSIII,174000,100000,Diesel,21.0,1461.0,5,12
20,Honda,WR-V i-DTEC VX,950000,50000,Diesel,25.5,1498.0,5,6
21,Maruti,Swift Dzire ZDI,525000,40000,Diesel,26.59,1248.0,5,8
22,Maruti,SX4 ZDI,600000,72000,Diesel,21.5,1248.0,5,11
23,Tata,Tigor 2017-2020 XZ,500000,35000,Petrol,20.3,1199.0,5,5
24,Maruti,Baleno Delta 1.2,575000,45000,Petrol,21.4,1197.0,5,7
25,Maruti,Alto 800 LXI,275000,28000,Petrol,24.7,796.0,5,6
26,Chevrolet,Enjoy TCDi LTZ 7 Seater,300000,70000,Diesel,18.2,1248.0,7,10
27,Maruti,Wagon R LXI Minor,220000,120000,Petrol,18.9,1061.0,5,14
28,Maruti,Omni E MPI STD BS IV,254999,25000,Petrol,16.8,796.0,8,5
29,Maruti,Vitara Brezza LDi Option,670000,70000,Diesel,24.3,1248.0,5,6
30,Maruti,Omni 8 Seater BSIV,150000,35000,Petrol,14.0,796.0,5,11
